國文,英文,數學,地理,歷史
83,73,71,50,100
69,52,50,57,93
97,77,53,95,73
98,52,92,67,77
74,98,76,100,79
84,54,88,93,69
68,100,61,62,81
57,56,81,64,88
92,73,94,77,82
90,95,75,96,78
67,63,79,60,73
89,56,87,100,59
70,76,51,82,83
51,63,52,83,92
87,83,50,67,96
99,99,67,73,58
70,70,79,92,94
54,85,62,64,56
84,66,55,99,81
94,70,91,94,69
89,60,64,90,62
87,74,94,57,90
81,83,59,56,60
51,55,70,67,81
86,91,66,52,90
89,50,100,80,96
63,79,98,62,72
50,85,90,56,63
67,96,77,98,66
82,93,54,64,54
50,78,58,86,84
53,82,83,59,64
55,64,50,98,73
98,51,79,65,53
69,92,70,59,58
65,98,61,92,93
56,81,86,65,59
59,75,59,57,95
65,66,50,61,90
62,80,91,70,83
80,94,66,65,85
62,52,91,77,72
86,99,63,60,84
89,99,53,55,60
100,96,89,58,57
96,61,74,95,57
80,67,63,64,55
98,96,92,64,72
62,98,77,85,59
83,91,95,51,86
