城市,起始時間,結束時間,最高溫度,最低溫度
臺北市,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,35.0,32.0
新北市,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,34.0,31.0
桃園市,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,35.0,32.0
臺中市,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,35.0,32.0
臺南市,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,33.0,31.0
高雄市,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,33.0,31.0
基隆市,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,34.0,31.0
新竹縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,34.0,31.0
新竹市,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,33.0,31.0
苗栗縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,34.0,31.0
彰化縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,34.0,32.0
南投縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,34.0,31.0
雲林縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,34.0,30.0
嘉義縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,34.0,31.0
嘉義市,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,35.0,30.0
屏東縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,34.0,31.0
宜蘭縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,33.0,30.0
花蓮縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,32.0,30.0
臺東縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,32.0,30.0
澎湖縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,33.0,30.0
金門縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,33.0,30.0
連江縣,2023-07-22T12:00:00+08:00,2023-07-22T18:00:00+08:00,32.0,29.0
